Wizard1,20,100,1,1,0,0,000000000
Wizard2,20,100,1,1,0,0,000000000
Wizard3,20,100,1,1,0,0,000000000
Wizard4,20,100,1,1,0,0,000000000
Lion,30,3,8,4,0,0,000000000
Skeleton,5,5,2,1,0,0,010001000
Wraith,22,7,3,2,0,0,010001000
Griffon,15,6,3,4,0,0,001000000
Unicorn,14,4,4,4,0,0,000000100
Cobra,2,1,2,1,0,0,000000000
Bat,8,1,2,5,0,0,000000000
Rat,8,2,2,3,0,0,000000000
Pegasus,1,1,1,1,0,0,001000100
Goblin,7,2,6,1,0,0,000000000
Orc,4,4,2,1,0,0,000000000
Bear,25,2,8,2,0,0,000000000
Horse,8,1,1,4,0,0,000000100
Crocodile,37,2,7,1,0,0,000000000
Eagle,15,4,4,6,0,0,001000000
Birdy,25,5,5,6,0,0,001000000
Golden Dragon,53,3,10,4,10,1,001000001
Green Dragon,39,4,9,3,8,1,001000001
